Date,Day,Week,Month,Quarter,Activity,Platform,Content Type,Target Audience,Expected Reach,Expected Engagement,Responsible Person,Status,Notes
4/20/2026,Monday,3,April,Q2,Weekly Planning & Strategy Review,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Start of week planning
4/21/2026,Tuesday,3,April,Q2,Mother Group Content Posting,Mothers' Choice,Article,Mothers,50000,5000,Social Media Manager,Pending,Summer Swim Preparation
4/21/2026,Tuesday,3,April,Q2,Influencer Outreach,Instagram,Collaboration,Influencers,N/A,N/A,Marketing Manager,Pending,Identify 5 potential partners
4/22/2026,Wednesday,3,April,Q2,Google Ads Campaign Review,Google Ads,Campaign,All,N/A,N/A,Ads Manager,Pending,Optimize high-intent keywords
4/23/2026,Thursday,3,April,Q2,Video Content Creation,YouTube,Masterclass,All,N/A,N/A,Content Creator,Pending,Summer Swim Preparation Masterclass
4/24/2026,Friday,3,April,Q2,Weekly Performance Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Review metrics and adjust
4/25/2026,Saturday,3,April,Q2,Open Water Swim Event,Meetup,Event,Community,100,50,Event Coordinator,Pending,Deep Water Bay swim
4/26/2026,Sunday,3,April,Q2,Community Sunday Post,Instagram,Carousel,Community,9000,900,Social Media Manager,Pending,Referral program highlight
4/27/2026,Monday,4,April,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 4 planning
4/28/2026,Tuesday,4,April,Q2,Instagram Reel - Technique,Instagram,Reel,All,5000,500,Content Creator,Pending,Freestyle stroke breakdown
4/28/2026,Tuesday,4,April,Q2,TikTok Video - Transformation,TikTok,Video,All,30000,2400,Content Creator,Pending,Student success story
4/29/2026,Wednesday,4,April,Q2,Blog Post Publication,Website,Blog,All,N/A,N/A,Content Writer,Pending,Summer Swim Tips
4/30/2026,Thursday,4,April,Q2,Facebook Live Q&A,Facebook,Live,Mothers,5000,500,Marketing Manager,Pending,Summer preparation questions
5/1/2026,Friday,1,May,Q2,Swimming Festival Launch,Event,Event,Community,500,250,Event Coordinator,Pending,Major swimming festival begins
5/2/2026,Saturday,1,May,Q2,Swimming Festival Day 2,Event,Event,Community,500,250,Event Coordinator,Pending,Festival continuation
5/3/2026,Sunday,1,May,Q2,Festival Highlights Post,Instagram,Carousel,Community,15000,1500,Social Media Manager,Pending,Festival celebration
5/4/2026,Monday,1,May,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Post-festival planning
5/5/2026,Tuesday,1,May,Q2,Mother Group Content,Little Steps,Article,Parents,30000,3000,Social Media Manager,Pending,Summer Camp Benefits
5/5/2026,Tuesday,1,May,Q2,Summer Camp Campaign Launch,All Channels,Campaign,All,N/A,N/A,Marketing Manager,Pending,Early bird discount promotion
5/6/2026,Wednesday,1,May,Q2,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Summer Camp Guide
5/7/2026,Thursday,1,May,Q2,YouTube Video,YouTube,Success Story,All,5000,500,Content Creator,Pending,Student transformation interview
5/8/2026,Friday,1,May,Q2,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 1 metrics
5/9/2026,Saturday,1,May,Q2,Open Water Swim,Meetup,Event,Community,100,50,Event Coordinator,Pending,Repulse Bay swim
5/10/2026,Sunday,1,May,Q2,Community Post,Instagram,Carousel,Community,9000,900,Social Media Manager,Pending,Testimonial feature
5/11/2026,Monday,2,May,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 2 planning
5/12/2026,Tuesday,2,May,Q2,Mother Group Content,Hong Kong Moms,Article,Mothers,100000,10000,Social Media Manager,Pending,Summer Swimming Adventure
5/12/2026,Tuesday,2,May,Q2,Influencer Collaboration,Instagram,Post,Influencers,10000,1000,Marketing Manager,Pending,Feature local fitness influencer
5/13/2026,Wednesday,2,May,Q2,Google Ads Optimization,Google Ads,Campaign,All,N/A,N/A,Ads Manager,Pending,Test new ad copy
5/14/2026,Thursday,2,May,Q2,YouTube Video,YouTube,Success Story,All,5000,500,Content Creator,Pending,Summer camp preview
5/15/2026,Friday,2,May,Q2,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 2 metrics
5/16/2026,Saturday,2,May,Q2,Open Water Swim,Meetup,Event,Community,100,50,Event Coordinator,Pending,Shek O swim
5/17/2026,Sunday,2,May,Q2,Community Post,Instagram,Carousel,Community,9000,900,Social Media Manager,Pending,Referral leaderboard
5/18/2026,Monday,3,May,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 3 planning
5/19/2026,Tuesday,3,May,Q2,Mother Group Content,Expat Moms,Article,Expat Parents,50000,5000,Social Media Manager,Pending,Summer Activities for Expat Kids
5/19/2026,Tuesday,3,May,Q2,School Partnership Outreach,Email,Outreach,Schools,N/A,N/A,Partnership Manager,Pending,Contact 5 target schools
5/20/2026,Wednesday,3,May,Q2,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Choosing Summer Programs
5/21/2026,Thursday,3,May,Q2,Facebook Event Announcement,Facebook,Post,All,10000,1000,Social Media Manager,Pending,Summer camp announcement
5/22/2026,Friday,3,May,Q2,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 3 metrics
5/23/2026,Saturday,3,May,Q2,Open Water Swim,Meetup,Event,Community,100,50,Event Coordinator,Pending,Tai Tam swim
5/24/2026,Sunday,3,May,Q2,Community Post,Instagram,Carousel,Community,9000,900,Social Media Manager,Pending,Summer camp highlights
5/25/2026,Monday,4,May,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 4 planning
5/26/2026,Tuesday,4,May,Q2,Mother Group Content,International Schools,Article,School Parents,30000,3000,Social Media Manager,Pending,Summer Swimming Excellence
5/26/2026,Tuesday,4,May,Q2,School Partnership Meetings,Email,Meeting,Schools,N/A,N/A,Partnership Manager,Pending,Meet with 3 schools
5/27/2026,Wednesday,4,May,Q2,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,School Summer Programs
5/28/2026,Thursday,4,May,Q2,YouTube Masterclass,YouTube,Masterclass,All,8000,800,Content Creator,Pending,Summer Technique Masterclass
5/29/2026,Friday,4,May,Q2,Monthly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,May performance review
5/30/2026,Saturday,4,May,Q2,Open Water Swim,Meetup,Event,Community,100,50,Event Coordinator,Pending,Monthly swim event
5/31/2026,Sunday,4,May,Q2,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,May celebration
6/1/2026,Monday,1,June,Q2,Monthly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,June strategy
6/2/2026,Tuesday,1,June,Q2,Mother Group Content,Mothers' Choice,Article,Mothers,50000,5000,Social Media Manager,Pending,Summer Camp Success Stories
6/2/2026,Tuesday,1,June,Q2,Corporate Wellness Launch,Email,Campaign,Corporate,N/A,N/A,Marketing Manager,Pending,Corporate program outreach
6/3/2026,Wednesday,1,June,Q2,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Corporate Wellness Benefits
6/4/2026,Thursday,1,June,Q2,YouTube Video,YouTube,Success Story,All,6000,600,Content Creator,Pending,Corporate wellness story
6/5/2026,Friday,1,June,Q2,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Campaign performance
6/6/2026,Saturday,1,June,Q2,Open Water Swim,Meetup,Event,Community,120,60,Event Coordinator,Pending,Monthly swim event
6/7/2026,Sunday,1,June,Q2,Community Post,Instagram,Carousel,Community,10000,1000,Social Media Manager,Pending,Corporate wellness highlight
6/8/2026,Monday,2,June,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 2 planning
6/9/2026,Tuesday,2,June,Q2,Instagram Reel,Instagram,Reel,All,6000,600,Content Creator,Pending,Technique tip video
6/9/2026,Tuesday,2,June,Q2,TikTok Videos,TikTok,Video,All,40000,3200,Content Creator,Pending,3 trending sound videos
6/10/2026,Wednesday,2,June,Q2,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Summer Fitness Tips
6/11/2026,Thursday,2,June,Q2,Facebook Live,Facebook,Live,Mothers,6000,600,Marketing Manager,Pending,Summer Q&A
6/12/2026,Friday,2,June,Q2,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Performance metrics
6/13/2026,Saturday,2,June,Q2,Open Water Swim,Meetup,Event,Community,120,60,Event Coordinator,Pending,Mid-June swim
6/14/2026,Sunday,2,June,Q2,Community Post,Instagram,Carousel,Community,10000,1000,Social Media Manager,Pending,Testimonial feature
6/15/2026,Monday,3,June,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 3 planning
6/16/2026,Tuesday,3,June,Q2,Mother Group Content,Little Steps,Article,Parents,30000,3000,Social Media Manager,Pending,Summer Learning Benefits
6/16/2026,Tuesday,3,June,Q2,School Partnership Negotiations,Email,Meeting,Schools,N/A,N/A,Partnership Manager,Pending,Finalize school contracts
6/17/2026,Wednesday,3,June,Q2,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,School Partnership Benefits
6/18/2026,Thursday,3,June,Q2,YouTube Video,YouTube,Success Story,All,6000,600,Content Creator,Pending,School partnership story
6/19/2026,Friday,3,June,Q2,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 3 metrics
6/20/2026,Saturday,3,June,Q2,Open Water Swim,Meetup,Event,Community,120,60,Event Coordinator,Pending,Monthly swim
6/21/2026,Sunday,3,June,Q2,Community Post,Instagram,Carousel,Community,10000,1000,Social Media Manager,Pending,School partnership highlight
6/22/2026,Monday,4,June,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 4 planning
6/23/2026,Tuesday,4,June,Q2,Mother Group Content,Hong Kong Moms,Article,Mothers,100000,10000,Social Media Manager,Pending,Summer Adventure Ideas
6/23/2026,Tuesday,4,June,Q2,Q2 Review Meeting,Internal,Meeting,Team,N/A,N/A,Marketing Manager,Pending,Q2 performance review
6/24/2026,Wednesday,4,June,Q2,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Q2 Recap & Learnings
6/25/2026,Thursday,4,June,Q2,Facebook Event,Facebook,Post,All,15000,1500,Social Media Manager,Pending,Q3 preview announcement
6/26/2026,Friday,4,June,Q2,Quarterly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Q2 final metrics
6/27/2026,Saturday,4,June,Q2,Open Water Swim,Meetup,Event,Community,120,60,Event Coordinator,Pending,End of Q2 swim
6/28/2026,Sunday,4,June,Q2,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,Q2 celebration
7/1/2026,Wednesday,1,July,Q3,Q3 Planning Meeting,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Q3 strategy launch
7/2/2026,Thursday,1,July,Q3,YouTube Masterclass,YouTube,Masterclass,All,10000,1000,Content Creator,Pending,Back-to-School Preparation
7/3/2026,Friday,1,July,Q3,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Early July metrics
7/4/2026,Saturday,1,July,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,Q3 launch swim
7/5/2026,Sunday,1,July,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,Q3 kickoff
7/6/2026,Monday,1,July,Q3,Monthly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,July strategy
7/7/2026,Tuesday,1,July,Q3,Mother Group Content,Mothers' Choice,Article,Mothers,50000,5000,Social Media Manager,Pending,Back-to-School Swimming
7/7/2026,Tuesday,1,July,Q3,School Partnership Outreach,Email,Outreach,Schools,N/A,N/A,Partnership Manager,Pending,Contact new schools
7/8/2026,Wednesday,1,July,Q3,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Back-to-School Guide
7/9/2026,Thursday,1,July,Q3,YouTube Video,YouTube,Success Story,All,7000,700,Content Creator,Pending,School preparation story
7/10/2026,Friday,1,July,Q3,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 1 metrics
7/11/2026,Saturday,1,July,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,July swim event
7/12/2026,Sunday,1,July,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,July highlights
7/13/2026,Monday,2,July,Q3,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 2 planning
7/14/2026,Tuesday,2,July,Q3,Instagram Reel,Instagram,Reel,All,7000,700,Content Creator,Pending,Back-to-school technique
7/14/2026,Tuesday,2,July,Q3,TikTok Videos,TikTok,Video,All,50000,4000,Content Creator,Pending,Back-to-school content
7/15/2026,Wednesday,2,July,Q3,Back-to-School Campaign Launch,All Channels,Campaign,All,N/A,N/A,Marketing Manager,Pending,School preparation focus
7/16/2026,Thursday,2,July,Q3,Facebook Live,Facebook,Live,Mothers,7000,700,Marketing Manager,Pending,Back-to-school Q&A
7/17/2026,Friday,2,July,Q3,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Performance metrics
7/18/2026,Saturday,2,July,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,Mid-July swim
7/19/2026,Sunday,2,July,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,Testimonial carousel
7/20/2026,Monday,3,July,Q3,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 3 planning
7/21/2026,Tuesday,3,July,Q3,Mother Group Content,Little Steps,Article,Parents,30000,3000,Social Media Manager,Pending,School Swimming Success
7/21/2026,Tuesday,3,July,Q3,School Onboarding,Email,Meeting,Schools,N/A,N/A,Partnership Manager,Pending,Begin school program launch
7/22/2026,Wednesday,3,July,Q3,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,School Swimming Programs
7/23/2026,Thursday,3,July,Q3,YouTube Video,YouTube,Success Story,All,7000,700,Content Creator,Pending,School partnership story
7/24/2026,Friday,3,July,Q3,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 3 metrics
7/25/2026,Saturday,3,July,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,Monthly swim
7/26/2026,Sunday,3,July,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,School partnership highlight
7/27/2026,Monday,4,July,Q3,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 4 planning
7/28/2026,Tuesday,4,July,Q3,Mother Group Content,Hong Kong Moms,Article,Mothers,100000,10000,Social Media Manager,Pending,School Swimming Excellence
7/28/2026,Tuesday,4,July,Q3,Technology Platform Development,Internal,Development,Team,N/A,N/A,Tech Lead,Pending,App development begins
7/29/2026,Wednesday,4,July,Q3,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Technology Innovation
7/30/2026,Thursday,4,July,Q3,Facebook Event,Facebook,Post,All,15000,1500,Social Media Manager,Pending,August preview
7/31/2026,Friday,4,July,Q3,Monthly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,July performance
8/1/2026,Saturday,1,August,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,August launch swim
8/2/2026,Sunday,1,August,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,August celebration
8/3/2026,Monday,1,August,Q3,Monthly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,August strategy
8/4/2026,Tuesday,1,August,Q3,Mother Group Content,Expat Moms,Article,Expat Parents,50000,5000,Social Media Manager,Pending,August Activities
8/4/2026,Tuesday,1,August,Q3,Technology Platform Beta,Internal,Development,Team,N/A,N/A,Tech Lead,Pending,Beta testing begins
8/5/2026,Wednesday,1,August,Q3,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Technology Features
8/6/2026,Thursday,1,August,Q3,YouTube Masterclass,YouTube,Masterclass,All,9000,900,Content Creator,Pending,Competitive Coaching Strategies
8/7/2026,Friday,1,August,Q3,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 1 metrics
8/8/2026,Saturday,1,August,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,August swim event
8/9/2026,Sunday,1,August,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,August highlights
8/10/2026,Monday,2,August,Q3,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 2 planning
8/11/2026,Tuesday,2,August,Q3,Instagram Reel,Instagram,Reel,All,7000,700,Content Creator,Pending,Technique breakdown
8/11/2026,Tuesday,2,August,Q3,TikTok Videos,TikTok,Video,All,50000,4000,Content Creator,Pending,August content
8/12/2026,Wednesday,2,August,Q3,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,August Tips
8/13/2026,Thursday,2,August,Q3,Facebook Live,Facebook,Live,Mothers,7000,700,Marketing Manager,Pending,August Q&A
8/14/2026,Friday,2,August,Q3,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Performance metrics
8/15/2026,Saturday,2,August,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,Mid-August swim
8/16/2026,Sunday,2,August,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,Testimonial feature
8/17/2026,Monday,3,August,Q3,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 3 planning
8/18/2026,Tuesday,3,August,Q3,Mother Group Content,International Schools,Article,School Parents,30000,3000,Social Media Manager,Pending,School Excellence
8/18/2026,Tuesday,3,August,Q3,PR Campaign Preparation,Media,PR,All,N/A,N/A,PR Manager,Pending,Media relations strategy
8/19/2026,Wednesday,3,August,Q3,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,PR Strategy
8/20/2026,Thursday,3,August,Q3,YouTube Video,YouTube,Success Story,All,7000,700,Content Creator,Pending,Student story
8/21/2026,Friday,3,August,Q3,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 3 metrics
8/22/2026,Saturday,3,August,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,Monthly swim
8/23/2026,Sunday,3,August,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,Community highlight
8/24/2026,Monday,4,August,Q3,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 4 planning
8/25/2026,Tuesday,4,August,Q3,Mother Group Content,Mothers' Choice,Article,Mothers,50000,5000,Social Media Manager,Pending,August Success Stories
8/25/2026,Tuesday,4,August,Q3,Technology Platform Launch Prep,Internal,Development,Team,N/A,N/A,Tech Lead,Pending,Final preparations
8/26/2026,Wednesday,4,August,Q3,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Technology Launch
8/27/2026,Thursday,4,August,Q3,Facebook Event,Facebook,Post,All,15000,1500,Social Media Manager,Pending,September preview
8/28/2026,Friday,4,August,Q3,Monthly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,August performance
8/29/2026,Saturday,4,August,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,End of August swim
8/30/2026,Sunday,4,August,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,August celebration
9/1/2026,Tuesday,1,September,Q3,Mother Group Content,Little Steps,Article,Parents,30000,3000,Social Media Manager,Pending,September Programs
9/1/2026,Tuesday,1,September,Q3,Technology Platform MVP Launch,Internal,Development,Team,N/A,N/A,Tech Lead,Pending,App goes live
9/2/2026,Wednesday,1,September,Q3,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Technology Launch Announcement
9/3/2026,Thursday,1,September,Q3,YouTube Masterclass,YouTube,Masterclass,All,10000,1000,Content Creator,Pending,Technology Features Masterclass
9/4/2026,Friday,1,September,Q3,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 1 metrics
9/5/2026,Saturday,1,September,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,September launch swim
9/6/2026,Sunday,1,September,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,Technology launch highlight
9/7/2026,Monday,1,September,Q3,Monthly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,September strategy
9/8/2026,Tuesday,1,September,Q3,Mother Group Content,Hong Kong Moms,Article,Mothers,100000,10000,Social Media Manager,Pending,September Adventures
9/8/2026,Tuesday,1,September,Q3,PR Campaign Launch,Media,PR,All,N/A,N/A,PR Manager,Pending,Media outreach begins
9/9/2026,Wednesday,1,September,Q3,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,PR Campaign
9/10/2026,Thursday,1,September,Q3,YouTube Video,YouTube,Success Story,All,8000,800,Content Creator,Pending,PR feature story
9/11/2026,Friday,1,September,Q3,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 1 metrics
9/12/2026,Saturday,1,September,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,September swim
9/13/2026,Sunday,1,September,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,September highlights
9/14/2026,Monday,2,September,Q3,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 2 planning
9/15/2026,Tuesday,2,September,Q3,Instagram Reel,Instagram,Reel,All,8000,800,Content Creator,Pending,Technique tip
9/15/2026,Tuesday,2,September,Q3,PR Campaign Acceleration,Media,PR,All,N/A,N/A,PR Manager,Pending,Media mentions target
9/16/2026,Wednesday,2,September,Q3,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,PR Success
9/17/2026,Thursday,2,September,Q3,Facebook Live,Facebook,Live,Mothers,8000,800,Marketing Manager,Pending,September Q&A
9/18/2026,Friday,2,September,Q3,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Performance metrics
9/19/2026,Saturday,2,September,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,Mid-September swim
9/20/2026,Sunday,2,September,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,Testimonial feature
9/21/2026,Monday,3,September,Q3,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 3 planning
9/22/2026,Tuesday,3,September,Q3,Mother Group Content,Expat Moms,Article,Expat Parents,50000,5000,Social Media Manager,Pending,September Activities
9/22/2026,Tuesday,3,September,Q3,Technique Masterclass Series,Event,Workshop,All,N/A,N/A,Event Coordinator,Pending,First masterclass
9/23/2026,Wednesday,3,September,Q3,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Masterclass Series
9/24/2026,Thursday,3,September,Q3,YouTube Video,YouTube,Success Story,All,8000,800,Content Creator,Pending,Masterclass preview
9/25/2026,Friday,3,September,Q3,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 3 metrics
9/26/2026,Saturday,3,September,Q3,Open Water Swim,Meetup,Event,Community,150,75,Event Coordinator,Pending,Monthly swim
9/27/2026,Sunday,3,September,Q3,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,Community
